Olá,Oiee
Oie,Olá
Oi,Oie
Tudo bem,tudo e voce
td bem,tudo otimo
como estao as coisas,tudo bem e voce
tudo bem e voce, tudo bem tambem
tudo bem e vc,tudo ótimo
de onde você é,sou de {cidade} e você
sou de {cidade} e você,sou de {cidade}
sou de cidade {cidade}, que legal
que legal, gosta de fazer oq?
faz faculdade,sim faço {curso} e você
faço de {curso} e você,faço {curso}
você trabalha,trabalho como {trabalho} na {empresa}
com certeza,oq voce acha de me passar seu telefone? fica melhor para conversar
oq voce acha de me passar seu telefone? fica melhor para conversar,{numero}
me passa seu numero,{numero}
vamos sair,hoje nao posso
podemos sair qualquer dia desses,hoje nao dá
vai fazer oq hoje,vou ficar em casa
